source,target,verb,name,doc_id
149,721,develop,DEVELOP,394
8,721,develop,DEVELOP,394
8,149,mandate,OBLIGATE,394
309,722,develop,DEVELOP,554
309,723,publish,REPORT,554
309,529,submit,REPORT,554
310,509,ensure,REGULATE,771
313,725,operate,IMPLEMENT,1613
27,9,mandate,OBLIGATE,468
13,366,require,OBLIGATE,832
314,254,require,OBLIGATE,836
315,726,establish,DEVELOP,985
3,269,obligate,OBLIGATE,811
317,525,aid,SUPPORT,811
22,727,develop,DEVELOP,315
261,730,use,USE,397
319,731,establish,DEVELOP,414
95,731,establish,DEVELOP,414
3,10,obligate,OBLIGATE,411
261,10,mandate,OBLIGATE,411
261,10,notify,REPORT,411
3,321,instruct,OBLIGATE,450
321,733,regulate,REGULATE,450
4,321,instruct,OBLIGATE,450
4,321,require,OBLIGATE,450
3,734,establish,DEVELOP,420
8,323,establish,DEVELOP,420
3,328,direct,OBLIGATE,433
324,328,instruct,OBLIGATE,433
325,328,instruct,OBLIGATE,433
287,735,establish,DEVELOP,432
162,9,require,OBLIGATE,438
59,162,obligate,OBLIGATE,438
59,9,require,OBLIGATE,438
326,736,use,USE,441
327,328,instruct,OBLIGATE,440
328,518,assess,EVALUATE,440
328,552,submit,REPORT,440
17,737,enforce,REGULATE,448
17,738,impose,OBLIGATE,451
17,739,revise,DEVELOP,451
329,22,oversee,REGULATE,437
139,22,coordinate,COORDINATE,437
330,22,promote,SUPPORT,437
3,331,direct,OBLIGATE,443
331,740,establish,DEVELOP,443
332,39,direct,OBLIGATE,471
0,333,establish,DEVELOP,471
333,0,direct,OBLIGATE,471
333,39,direct,OBLIGATE,471
334,741,adopt,DEVELOP,461
335,741,adopt,DEVELOP,461
206,743,monitor,REGULATE,497
338,744,support,SUPPORT,487
8,22,use,USE,484
261,366,authorize,AUTHORIZE,800
339,366,require,OBLIGATE,800
340,366,require,OBLIGATE,799
341,748,support,SUPPORT,799
342,749,develop,DEVELOP,510
13,366,require,OBLIGATE,801
0,343,establish,DEVELOP,500
0,751,oversee,REGULATE,500
343,751,oversee,REGULATE,500
3,4,obligate,OBLIGATE,805
347,753,use,USE,823
338,347,obligate,OBLIGATE,823
348,347,obligate,OBLIGATE,823
352,316,require,OBLIGATE,821
353,651,advance,SUPPORT,809
347,754,improve,DEVELOP,525
338,347,instruct,OBLIGATE,525
348,347,instruct,OBLIGATE,525
25,22,regulate,REGULATE,566
17,22,regulate,REGULATE,566
354,200,promote,SUPPORT,557
0,756,monitor,REGULATE,557
4,757,utilize,USE,556
355,758,develop,DEVELOP,815
67,539,establish,DEVELOP,583
356,760,review,EVALUATE,583
192,761,establish,DEVELOP,657
261,762,instruct,OBLIGATE,657
3,381,require,OBLIGATE,601
358,764,disclose,REPORT,573
358,764,support,SUPPORT,573
359,765,establish,DEVELOP,617
4,766,impose,OBLIGATE,615
4,603,mandate,OBLIGATE,615
261,766,impose,OBLIGATE,615
331,22,use,USE,582
337,767,direct,OBLIGATE,592
360,768,establish,DEVELOP,592
162,9,require,OBLIGATE,515
361,9,require,OBLIGATE,515
19,362,establish,DEVELOP,820
363,200,review,EVALUATE,522
364,769,utilize,USE,819
365,768,administer,REGULATE,819
254,509,involve,COORDINATE,822
254,366,require,OBLIGATE,822
366,509,involve,COORDINATE,822
163,227,require,OBLIGATE,524
367,774,disclose,REPORT,837
368,775,establish,DEVELOP,881
4,776,counter,REGULATE,721
4,777,submit,REPORT,721
4,776,support,SUPPORT,721
17,104,require,OBLIGATE,844
372,778,establish,DEVELOP,898
373,778,establish,DEVELOP,898
374,779,oversee,REGULATE,704
376,377,establish,DEVELOP,986
376,22,involve,COORDINATE,986
377,22,involve,COORDINATE,986
378,150,implement,IMPLEMENT,905
30,780,utilize,USE,879
380,22,involve,COORDINATE,865
4,200,require,OBLIGATE,852
3,508,develop,DEVELOP,911
10,508,develop,DEVELOP,911
10,261,mandate,OBLIGATE,911
44,781,develop,DEVELOP,855
44,782,facilitate,SUPPORT,855
44,22,promote,SUPPORT,855
23,783,update,REPORT,855
10,544,update,REPORT,855
46,781,develop,DEVELOP,855
46,44,establish,DEVELOP,855
46,782,facilitate,SUPPORT,855
46,22,promote,SUPPORT,855
3,4,require,OBLIGATE,885
381,4,require,OBLIGATE,885
39,784,develop,DEVELOP,897
382,784,develop,DEVELOP,897
383,785,support,SUPPORT,1003
384,786,protect,REGULATE,1003
4,200,prohibit,RESTRICT,988
385,787,direct,OBLIGATE,896
385,787,require,OBLIGATE,896
388,387,convene,COORDINATE,682
19,362,establish,DEVELOP,999
20,517,establish,DEVELOP,1000
389,4,direct,OBLIGATE,994
4,788,impose,OBLIGATE,994
4,788,waive,AUTHORIZE,994
390,4,direct,OBLIGATE,994
3,17,direct,OBLIGATE,889
391,789,establish,DEVELOP,1002
180,789,establish,DEVELOP,1002
9,381,protect,REGULATE,902
9,22,use,USE,902
13,791,develop,DEVELOP,902
381,22,use,USE,902
392,792,support,SUPPORT,1007
361,793,support,SUPPORT,1007
13,794,establish,DEVELOP,1007
13,793,improve,DEVELOP,1007
393,795,require,OBLIGATE,856
394,796,require,OBLIGATE,856
395,796,require,OBLIGATE,856
396,22,use,USE,1016
397,22,promote,SUPPORT,860
3,787,require,OBLIGATE,849
398,200,ensure,REGULATE,1222
399,797,establish,DEVELOP,1197
400,799,require,OBLIGATE,1230
9,22,advance,SUPPORT,1274
9,800,establish,DEVELOP,1274
401,22,coordinate,COORDINATE,1274
381,22,coordinate,COORDINATE,1274
381,401,create,DEVELOP,1274
402,22,use,USE,1280
3,4,mandate,OBLIGATE,326
403,22,assess,EVALUATE,1297
330,404,establish,DEVELOP,1297
330,22,promote,SUPPORT,1297
404,22,promote,SUPPORT,1297
8,149,direct,OBLIGATE,1212
405,802,use,USE,1212
3,803,involve,COORDINATE,1227
406,804,develop,DEVELOP,1265
3,17,require,OBLIGATE,1337
9,506,advance,SUPPORT,1206
9,675,establish,DEVELOP,1206
10,806,track,EVALUATE,1202
10,544,update,REPORT,1202
16,807,submit,REPORT,1258
118,809,improve,DEVELOP,1205
3,810,mandate,OBLIGATE,1205
16,425,prevent,RESTRICT,1269
8,811,require,OBLIGATE,1209
407,20,require,OBLIGATE,1296
408,812,establish,DEVELOP,1306
409,813,develop,DEVELOP,1287
366,3,consult,COORDINATE,1233
369,815,require,OBLIGATE,1248
410,815,require,OBLIGATE,1248
411,815,require,OBLIGATE,1248
412,815,require,OBLIGATE,1248
414,817,utilize,USE,1249
415,818,create,DEVELOP,1249
416,819,mandate,OBLIGATE,1343
417,819,mandate,OBLIGATE,1343
419,821,require,OBLIGATE,288
8,823,evaluate,EVALUATE,1261
421,824,establish,DEVELOP,1352
421,825,maintain,IMPLEMENT,1352
422,824,establish,DEVELOP,1352
422,825,maintain,IMPLEMENT,1352
45,44,establish,DEVELOP,1342
423,595,establish,DEVELOP,1353
3,4,obligate,OBLIGATE,1338
261,4,obligate,OBLIGATE,1338
424,826,advance,SUPPORT,1319
425,827,establish,DEVELOP,1214
4,603,prohibit,RESTRICT,1358
426,23,require,OBLIGATE,1200
427,23,require,OBLIGATE,1200
428,829,assess,EVALUATE,1375
15,830,establish,DEVELOP,457
429,20,require,OBLIGATE,1374
3,831,implement,IMPLEMENT,1374
3,20,mandate,OBLIGATE,1374
3,20,require,OBLIGATE,1374
20,831,implement,IMPLEMENT,1374
3,381,assess,EVALUATE,1315
430,381,assess,EVALUATE,1315
118,22,ensure,REGULATE,1679
331,832,carry,IMPLEMENT,316
331,832,require,OBLIGATE,316
432,533,create,DEVELOP,89
433,533,direct,OBLIGATE,89
434,22,use,USE,278
435,835,share,COORDINATE,379
436,547,adopt,DEVELOP,357
436,836,implement,IMPLEMENT,357
437,837,require,OBLIGATE,357
437,838,use,USE,357
11,839,establish,DEVELOP,376
438,840,maintain,IMPLEMENT,368
438,841,use,USE,368
16,328,convene,COORDINATE,1158
441,328,convene,COORDINATE,1158
442,328,lead,COORDINATE,1158
443,842,supervise,REGULATE,356
444,843,deny,RESTRICT,362
445,843,regulate,REGULATE,362
93,633,submit,REPORT,360
446,845,adopt,DEVELOP,363
447,22,allow,AUTHORIZE,367
447,846,allow,AUTHORIZE,367
448,847,create,DEVELOP,765
448,848,establish,DEVELOP,765
448,849,implement,IMPLEMENT,765
3,850,limit,REGULATE,1116
3,851,use,USE,1116
449,852,develop,DEVELOP,1116
450,317,use,USE,1189
451,509,ensure,REGULATE,1027
451,22,promote,SUPPORT,1027
451,453,require,OBLIGATE,1027
452,22,promote,SUPPORT,1027
452,453,require,OBLIGATE,1027
453,22,promote,SUPPORT,1027
